P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY,tick
8.4,2014,0.17,0.05,3.35,2.59,1.02,5.01,1.71,11.2,9.22,1.17,0.15,1.42,0.2,0.14,0.21,147.36,121.27,0.0175,SQIA3
10.71,2015,0.13,0.2,4.57,3.36,0.85,5.6,1.62,17.86,13.67,1.09,0.1,1.43,0.15,0.1,0.12,222.2,170.05,0.055,SQIA3
18.14,2016,0.11,0.27,1.22,0.72,0.76,5.94,2.33,20.41,16.32,1.05,0.12,1.94,0.13,0.06,0.06,170.03,135.97,0.0152,SQIA3
39.32,2017,0.06,0.28,1.53,0.88,0.68,6.36,4.19,28.6,17.24,2.0,0.14,2.35,0.11,0.05,0.09,123.47,74.44,0.0034000000000000002,SQIA3
74.58,2018,0.03,0.16,1.55,0.79,0.34,7.21,3.51,33.15,19.53,1.79,0.11,2.1,0.05,0.02,0.06,150.58,88.7,0.0075,SQIA3
-432.11,2019,-0.02,0.19,7.71,7.14,-0.06,6.11,4.01,-864.21,131.77,2.79,0.07,9.88,-0.01,-0.01,-0.01,-543.61,82.89,0.0024,SQIA3
-1342.53,2020,-0.01,0.19,6.89,6.18,-0.01,6.0,3.17,0.0,82.32,2.21,0.09,7.26,0.0,0.0,0.0,0.0,67.96,0.0,SQIA3
21.32,2005,0.1,0.73,0.97,0.0,1.28,24.77,1.11,13.33,0.0,0.5,0.0,2.11,0.05,0.02,0.04,40.51,0.0,0.0,ENBR3
12.58,2006,0.09,0.72,1.15,0.0,2.62,26.46,1.25,7.01,5.12,0.57,0.23,1.19,0.1,0.05,0.09,17.86,13.04,0.0412,ENBR3
9.53,2007,0.11,0.6,1.36,0.0,3.03,28.07,1.03,5.89,4.23,0.49,0.25,1.05,0.11,0.05,0.09,16.81,12.07,0.0253,ENBR3
6.46,2008,0.1,0.6,0.78,0.0,3.5,36.05,0.63,3.54,2.38,0.31,0.28,0.66,0.1,0.05,0.09,15.14,10.17,0.0562,ENBR3
6.62,2009,0.17,0.53,1.14,0.0,5.07,37.27,0.9,4.66,3.68,0.46,0.31,1.14,0.14,0.07,0.1,12.15,9.59,0.027999999999999997,ENBR3
8.37,2010,0.15,0.52,1.14,0.45,4.62,40.72,0.95,5.31,4.08,0.48,0.3,1.21,0.11,0.06,0.1,11.25,8.65,0.06559999999999999,ENBR3
9.49,2011,0.13,0.55,1.01,0.33,4.37,41.3,1.0,5.53,4.29,0.48,0.28,1.22,0.11,0.05,0.1,11.32,8.78,0.0576,ENBR3
11.08,2012,0.08,0.67,0.89,0.19,1.13,13.35,0.94,6.12,4.52,0.41,0.2,0.9,0.08,0.04,0.08,14.89,11.01,0.1425,ENBR3
9.73,2013,0.08,0.52,1.02,0.2,1.17,13.15,0.86,4.85,3.56,0.38,0.21,0.76,0.09,0.04,0.09,11.75,8.62,0.0493,ENBR3
5.08,2014,0.09,0.51,0.88,0.23,1.77,13.81,0.65,2.84,2.31,0.32,0.21,0.48,0.13,0.06,0.13,8.84,7.2,0.1115,ENBR3
4.07,2015,0.14,0.83,1.24,0.29,2.96,15.75,0.76,2.36,1.98,0.31,0.29,0.57,0.19,0.08,0.15,6.5,5.46,0.013300000000000001,ENBR3
9.77,2016,0.09,0.62,1.17,0.51,1.37,14.81,0.91,4.95,3.73,0.42,0.23,0.87,0.09,0.04,0.1,8.71,6.55,0.0858,ENBR3
12.28,2017,0.06,0.67,1.21,0.38,1.14,14.91,0.94,5.33,3.91,0.41,0.18,0.69,0.08,0.03,0.09,9.47,6.95,0.0086,ENBR3
6.32,2018,0.1,0.77,1.54,0.52,2.34,15.96,0.92,4.13,3.22,0.39,0.2,0.65,0.15,0.06,0.12,7.31,5.71,0.08199999999999999,ENBR3
9.01,2019,0.1,0.82,1.28,0.48,2.45,17.08,1.29,5.66,4.48,0.49,0.2,0.88,0.14,0.05,0.1,6.96,5.51,0.0204,ENBR3
7.36,2020,0.09,0.81,1.29,0.45,2.38,17.32,1.01,4.5,3.56,0.39,0.19,0.68,0.14,0.05,0.1,7.11,5.62,0.0222,ENBR3
17.83,1998,0.17,0.09,1.26,0.0,0.06,2.03,0.55,0.0,0.0,0.41,0.0,3.0,0.03,0.02,0.0,0.0,0.0,0.08039999999999999,TIMP3
42.39,1999,0.05,0.32,0.66,0.0,0.09,2.06,1.91,20.86,0.0,1.14,0.0,1.93,0.04,0.03,0.06,554.6,0.0,0.015300000000000001,TIMP3
88.95,2000,0.02,0.39,1.48,0.0,0.04,2.73,1.46,20.22,0.0,0.91,0.0,1.86,0.02,0.01,0.05,531.36,0.0,0.0025,TIMP3
13.62,2001,0.09,0.35,2.2,0.0,0.22,2.84,1.07,8.59,0.0,0.68,0.0,1.29,0.08,0.05,0.08,294.55,0.0,0.0297,TIMP3
8.4,2002,0.09,0.32,1.46,0.0,0.23,2.93,0.67,5.75,0.0,0.41,0.0,0.75,0.08,0.05,0.08,299.48,0.0,0.0255,TIMP3
7.15,2003,0.14,0.07,1.8,0.0,0.42,3.1,0.98,6.97,0.0,0.66,0.0,0.99,0.14,0.09,0.11,224.51,0.0,0.019799999999999998,TIMP3
8.12,2004,0.13,0.04,1.58,0.0,0.48,3.44,1.13,7.1,0.0,0.76,0.0,1.06,0.14,0.09,0.13,90.92,0.0,0.031,TIMP3
12.79,2005,0.14,0.05,1.56,0.0,0.48,3.12,1.96,11.24,0.0,1.23,0.0,1.84,0.15,0.1,0.14,72.75,0.0,0.0229,TIMP3
-97.94,2006,-0.03,0.28,1.07,0.0,-0.13,3.38,3.71,138.79,11.74,2.06,0.25,2.89,-0.04,-0.02,0.02,175.06,14.8,0.005600000000000001,TIMP3
251.35,2007,0.01,0.28,1.05,0.0,0.03,3.32,2.53,37.56,6.89,1.35,0.23,1.58,0.01,0.01,0.05,70.62,12.95,0.0226,TIMP3
63.58,2008,0.01,0.46,0.99,0.0,0.08,3.32,1.48,23.44,3.97,0.71,0.22,0.88,0.02,0.01,0.04,77.94,13.2,0.0,TIMP3
81.95,2009,0.02,0.5,1.18,0.0,0.09,3.36,2.13,37.11,5.79,1.01,0.23,1.35,0.03,0.01,0.03,81.5,12.71,0.0,TIMP3
7.62,2010,0.15,0.31,1.13,0.42,0.89,4.16,1.64,14.04,4.02,0.87,0.29,1.17,0.21,0.11,0.09,29.61,8.48,0.0,TIMP3
17.41,2011,0.08,0.28,1.22,0.48,0.53,5.36,1.72,10.8,4.82,0.95,0.27,1.31,0.1,0.05,0.13,16.98,7.57,0.0216,TIMP3
13.67,2012,0.08,0.32,1.35,0.6,0.6,5.72,1.43,8.54,3.96,0.76,0.27,1.06,0.1,0.06,0.13,14.94,6.92,0.0268,TIMP3
19.77,2013,0.08,0.33,1.33,0.66,0.62,6.04,2.04,12.23,5.73,1.06,0.26,1.5,0.1,0.05,0.14,14.03,6.57,0.0,TIMP3
18.41,2014,0.08,0.44,1.22,0.57,0.64,6.33,1.86,11.46,5.15,0.87,0.28,1.46,0.1,0.05,0.11,14.57,6.54,0.0,TIMP3
8.01,2015,0.12,0.47,1.39,0.77,0.86,7.0,0.98,5.12,2.51,0.47,0.39,0.97,0.12,0.06,0.13,11.08,5.44,0.0219,TIMP3
25.17,2016,0.05,0.39,1.39,0.77,0.31,7.1,1.1,13.3,3.64,0.55,0.33,1.21,0.04,0.02,0.06,25.14,6.88,0.024300000000000002,TIMP3
25.68,2017,0.08,0.26,1.05,0.52,0.51,7.5,1.75,16.41,5.33,0.97,0.37,1.95,0.07,0.04,0.08,18.46,6.0,0.010700000000000001,TIMP3
11.27,2018,0.15,0.08,0.85,0.26,1.05,8.18,1.45,11.86,4.5,0.9,0.38,1.69,0.13,0.08,0.09,14.28,5.42,0.0203,TIMP3
10.47,2019,0.21,0.09,1.04,0.36,1.5,9.27,1.69,8.4,3.93,0.94,0.55,2.18,0.16,0.09,0.13,7.49,3.51,0.0364,TIMP3
9.68,2020,0.21,0.11,1.21,0.27,1.51,9.33,1.57,7.75,3.63,0.9,0.56,2.04,0.16,0.09,0.13,7.76,3.63,0.027999999999999997,TIMP3
-20.68,2006,-0.03,2.02,1.77,0.0,-1.11,11.26,2.04,7.25,6.12,0.36,0.09,0.57,-0.1,-0.02,0.05,18.31,15.47,0.0,LIGT3
5.41,2007,0.22,0.71,1.68,0.0,5.3,13.11,2.18,7.39,5.22,0.65,0.22,1.17,0.4,0.12,0.09,8.42,5.95,0.08900000000000001,LIGT3
4.43,2008,0.19,0.77,1.53,0.0,4.94,13.74,1.59,3.67,2.92,0.47,0.28,0.83,0.36,0.11,0.14,5.7,4.53,0.1244,LIGT3
8.43,2009,0.12,0.85,1.53,0.0,3.08,14.17,1.83,5.89,4.4,0.57,0.22,0.97,0.22,0.07,0.1,8.03,6.0,0.11199999999999999,LIGT3
8.99,2010,0.09,0.74,1.09,0.24,2.83,16.33,1.56,4.17,3.25,0.54,0.25,0.8,0.17,0.06,0.15,5.38,4.2,0.1534,LIGT3
18.82,2011,0.04,1.29,1.37,0.39,1.53,15.79,1.82,6.73,4.76,0.53,0.18,0.85,0.1,0.03,0.09,9.31,6.59,0.09480000000000001,LIGT3
10.68,2012,0.06,1.54,1.12,0.19,2.09,14.83,1.5,4.14,3.13,0.39,0.19,0.6,0.14,0.04,0.1,8.21,6.19,0.0771,LIGT3
7.66,2013,0.08,1.67,1.05,0.54,2.89,17.05,1.3,3.45,2.66,0.35,0.23,0.61,0.17,0.05,0.13,6.71,5.17,0.0443,LIGT3
5.23,2014,0.07,1.81,1.01,0.17,3.26,17.79,0.96,2.49,1.92,0.25,0.2,0.38,0.18,0.05,0.12,7.76,5.98,0.1052,LIGT3
51.77,2015,0.0,2.07,0.9,0.12,0.19,17.97,0.55,3.15,1.84,0.14,0.1,0.19,0.01,0.0,0.05,18.43,10.74,0.07780000000000001,LIGT3
-11.38,2016,-0.03,2.07,0.74,0.14,-1.53,16.44,1.06,6.87,180.33,0.25,0.0,0.37,-0.09,-0.02,0.04,21.37,560.64,0.0029,LIGT3
27.23,2017,0.01,2.16,0.75,0.06,0.61,16.83,0.99,2.9,2.01,0.23,0.15,0.3,0.04,0.01,0.09,10.05,6.97,0.0,LIGT3
20.15,2018,0.01,2.96,1.07,0.32,0.82,16.62,0.99,3.5,2.23,0.19,0.13,0.28,0.05,0.01,0.07,13.61,8.69,0.0085,LIGT3
5.44,2019,0.1,1.41,1.03,0.32,4.37,20.5,1.16,5.61,3.85,0.3,0.14,0.54,0.21,0.06,0.07,9.19,6.31,0.008,LIGT3
3.53,2020,0.1,1.4,1.28,0.31,4.38,22.09,0.7,4.03,2.68,0.19,0.13,0.36,0.2,0.05,0.06,10.85,7.2,0.0,LIGT3
27.84,2009,0.59,0.0,2.39,0.0,0.44,9.84,1.24,26.32,25.19,1.16,0.65,16.35,0.04,0.04,0.04,109.28,104.56,0.0212,B3SA3
22.7,2010,0.54,0.05,1.8,1.67,0.58,9.81,1.34,20.07,19.27,1.15,0.64,12.37,0.06,0.05,0.06,77.7,74.57,0.0381,B3SA3
18.03,2011,0.5,0.06,1.24,1.14,0.54,9.99,0.98,14.46,13.66,0.8,0.65,8.93,0.05,0.04,0.06,77.22,72.99,0.0571,B3SA3
25.16,2012,0.51,0.07,2.13,1.97,0.56,10.05,1.39,18.62,17.51,1.12,0.73,12.74,0.06,0.04,0.07,68.84,64.71,0.034300000000000004,B3SA3
19.37,2013,0.51,0.08,1.59,1.49,0.57,10.19,1.09,13.91,12.88,0.81,0.76,9.83,0.06,0.04,0.07,65.98,61.12,0.0524,B3SA3
18.17,2014,0.48,0.09,1.47,1.3,0.54,10.5,0.94,12.38,11.43,0.7,0.77,8.77,0.05,0.04,0.06,70.29,64.94,0.0406,B3SA3
8.81,2015,0.99,0.13,4.14,3.93,1.24,10.3,1.06,8.45,8.06,0.74,1.09,8.76,0.12,0.08,0.13,41.86,39.91,0.0725,B3SA3
20.74,2016,0.62,0.29,3.18,3.09,0.8,10.51,1.57,27.37,25.1,0.96,0.51,12.91,0.08,0.05,0.06,87.86,80.58,0.030899999999999997,B3SA3
36.19,2017,0.35,0.23,1.18,1.03,0.63,11.81,1.93,31.61,21.32,1.25,0.6,12.77,0.05,0.03,0.05,68.69,46.34,0.019799999999999998,B3SA3
26.43,2018,0.43,0.18,1.3,1.19,1.01,12.16,2.2,23.08,16.5,1.47,0.69,11.43,0.08,0.06,0.08,41.65,29.78,0.0265,B3SA3
32.6,2019,0.41,0.17,1.3,1.18,1.32,12.34,3.48,27.37,20.76,2.21,0.65,13.46,0.11,0.07,0.11,29.95,22.72,0.019299999999999998,B3SA3
32.56,2020,0.44,0.21,1.19,1.1,1.52,12.09,4.1,26.67,20.99,2.48,0.68,14.36,0.13,0.08,0.13,25.16,19.8,0.0256,B3SA3
6.74,2007,0.06,0.12,1.4,0.0,4.49,23.85,1.27,10.35,0.0,0.31,0.0,0.43,0.19,0.05,0.03,63.63,0.0,0.0,SULA11
2.53,2008,0.09,0.11,1.42,0.0,6.33,26.73,0.6,4.86,4.74,0.15,0.05,0.21,0.24,0.06,0.03,56.41,55.06,0.041299999999999996,SULA11
9.93,2009,0.06,0.1,1.41,0.0,5.24,29.13,1.79,87.05,0.0,0.39,0.0,0.63,0.18,0.04,0.0,311.6,0.0,0.021400000000000002,SULA11
9.53,2010,0.08,0.11,1.73,1.32,2.18,10.3,2.02,12.81,0.0,0.48,0.0,0.74,0.21,0.05,0.08,24.47,0.0,0.10289999999999999,SULA11
9.5,2011,0.05,0.11,1.7,1.28,1.59,10.96,1.38,92.16,0.0,0.32,0.0,0.47,0.14,0.03,0.01,226.42,0.0,0.094,SULA11
10.29,2012,0.05,0.15,1.85,1.44,1.72,11.94,1.48,33.13,0.0,0.35,0.0,0.48,0.14,0.03,0.02,65.8,0.0,0.036699999999999997,SULA11
10.35,2013,0.04,0.14,1.64,1.21,1.43,10.62,1.39,18.13,0.0,0.3,0.0,0.43,0.13,0.03,0.03,32.92,0.0,0.0453,SULA11
7.91,2014,0.04,0.26,1.7,1.27,1.63,11.74,1.1,21.99,0.0,0.24,0.0,0.33,0.14,0.03,0.02,41.04,0.0,0.031,SULA11
8.59,2015,0.05,0.24,1.77,1.4,2.17,13.0,1.43,21.07,0.0,0.32,0.0,0.42,0.17,0.04,0.03,23.21,0.0,0.0279,SULA11
8.77,2016,0.04,0.28,1.91,1.57,2.05,14.79,1.22,31.61,24.76,0.28,0.02,0.38,0.14,0.03,0.02,27.82,21.79,0.0294,SULA11
9.47,2017,0.04,0.28,1.93,1.6,1.97,14.31,1.3,16.72,14.97,0.31,0.03,0.41,0.14,0.03,0.05,10.52,9.42,0.0322,SULA11
12.44,2018,0.05,0.23,1.89,1.58,2.3,15.95,1.79,14.74,13.84,0.44,0.04,0.57,0.14,0.04,0.08,3.97,3.73,0.0199,SULA11
19.96,2019,0.05,0.24,1.95,1.64,3.0,18.13,3.3,25.07,22.27,0.83,0.05,1.09,0.17,0.04,0.08,2.07,1.83,0.0105,SULA11
16.07,2020,0.05,0.32,1.93,1.62,2.63,17.97,2.36,20.96,18.13,0.6,0.04,0.76,0.15,0.04,0.07,3.93,3.4,0.0151,SULA11
-37.34,2019,-0.04,2.67,0.5,0.24,-0.26,3.6,2.7,11.45,0.0,0.65,0.0,1.45,-0.07,-0.02,0.06,21.5,0.0,0.0,ALPK3
-0.13,1999,-0.51,1.63,1.05,0.0,-4.74,3.87,0.17,-0.45,0.0,0.04,0.0,0.07,-1.23,-0.33,-0.11,-53.97,0.0,0.0,HGTX3
7.94,2000,0.0,2.13,1.16,0.0,0.03,3.9,0.06,0.25,0.0,0.01,0.0,0.02,0.01,0.0,0.07,81.33,0.0,0.0,HGTX3
-0.19,2001,-0.17,5.03,1.4,0.0,-1.75,2.66,0.13,0.94,0.0,0.02,0.0,0.03,-0.66,-0.09,0.02,230.87,0.0,0.0,HGTX3
-0.08,2002,-0.41,84.57,0.95,0.0,-3.84,0.21,1.42,0.35,0.0,0.01,0.0,0.03,-0.01814,-0.17,0.04,104.27,0.0,0.0,HGTX3
1.05,2003,0.04,26.56,1.08,0.0,0.36,0.54,0.7,0.41,0.0,0.02,0.0,0.04,0.67,0.02,0.05,90.5,0.0,0.0,HGTX3
-3.31,2004,-0.05,492.0,1.11,0.0,-0.48,0.03,52.95,2.52,0.0,0.08,0.0,0.16,-0.016,-0.02,0.03,134.26,0.0,0.0,HGTX3
2.76,2005,0.09,6.25,0.99,0.0,0.91,0.97,2.59,-6.36,-25.43,0.17,-0.01,0.26,0.94,0.06,-0.03,-194.42,-776.97,0.0,HGTX3
9.54,2006,0.05,3.64,1.29,0.0,0.51,1.6,3.06,4.16,3.48,0.33,0.14,0.49,0.32,0.04,0.08,64.63,54.02,0.0,HGTX3
28.31,2007,0.05,0.45,2.03,0.0,0.37,5.08,2.07,26.96,18.84,0.82,0.08,1.53,0.07,0.03,0.03,116.74,81.56,0.0,HGTX3
10.98,2008,0.08,0.6,1.86,0.0,0.72,4.49,1.77,4.76,4.06,0.62,0.2,0.83,0.16,0.06,0.13,27.47,23.47,0.0227,HGTX3
13.91,2009,0.16,0.24,2.28,0.0,2.11,5.85,5.02,11.75,10.3,2.42,0.21,2.2,0.36,0.17,0.23,17.81,15.61,0.0208,HGTX3
20.63,2010,0.21,0.1,2.44,0.46,1.31,3.24,8.32,17.3,15.89,4.93,0.27,4.34,0.4,0.24,0.38,8.92,8.2,0.038900000000000004,HGTX3
17.8,2011,0.22,0.05,2.85,0.71,1.82,4.34,7.47,14.49,13.45,4.79,0.29,3.92,0.42,0.27,0.47,5.91,5.48,0.0173,HGTX3
22.17,2012,0.21,0.03,2.71,0.61,1.89,4.77,8.8,18.49,16.93,5.83,0.27,4.62,0.4,0.26,0.45,5.79,5.3,0.0362,HGTX3
15.48,2013,0.19,0.03,2.99,0.45,1.93,5.51,5.43,12.15,11.21,3.79,0.26,2.93,0.35,0.24,0.4,5.46,5.04,0.0425,HGTX3
10.38,2014,0.19,0.02,3.23,0.58,1.95,6.56,3.09,9.28,8.39,2.32,0.24,1.98,0.3,0.22,0.33,6.06,5.48,0.0435,HGTX3
8.74,2015,0.18,0.0,3.68,0.41,1.74,7.29,2.09,11.33,9.31,1.66,0.17,1.54,0.24,0.19,0.18,10.28,8.45,0.0579,HGTX3
12.31,2016,0.13,0.02,3.66,0.74,1.23,7.5,2.02,16.14,11.74,1.6,0.14,1.65,0.16,0.13,0.13,14.24,10.36,0.0675,HGTX3
15.71,2017,0.17,0.02,3.56,0.52,1.63,7.61,3.37,20.73,15.89,2.7,0.17,2.65,0.21,0.17,0.16,11.03,8.46,0.0632,HGTX3
19.8,2018,0.16,0.0,3.27,0.88,1.48,8.16,3.59,23.9,18.23,2.78,0.17,3.07,0.18,0.14,0.17,10.14,7.73,0.0236,HGTX3
25.85,2019,0.14,0.05,3.73,1.12,1.32,8.77,3.88,31.26,20.91,3.06,0.17,3.57,0.15,0.12,0.14,11.46,7.66,0.023799999999999998,HGTX3
13.26,2020,0.12,0.13,2.9,1.08,1.06,8.64,1.63,17.64,11.59,1.2,0.14,1.58,0.12,0.09,0.11,15.57,10.23,0.0383,HGTX3
18.88,2014,0.15,1.56,3.14,2.28,0.77,7.46,1.96,8.12,5.2,0.65,0.54,2.82,0.1,0.03,0.11,15.35,9.84,0.0521,KLBN11
-17.71,2015,-0.22,3.37,2.74,1.77,-1.32,5.65,4.15,14.88,8.91,0.84,0.44,3.9,-0.23,-0.05,0.07,22.3,13.36,0.0175,KLBN11
6.76,2016,0.35,2.6,2.4,1.56,2.62,7.5,2.36,12.0,7.82,0.57,0.3,2.37,0.35,0.08,0.06,23.51,15.31,0.0277,KLBN11
31.55,2017,0.06,2.7,3.15,2.21,0.56,7.56,2.33,10.85,6.78,0.55,0.3,2.01,0.07,0.02,0.07,20.69,12.93,0.0233,KLBN11
91.88,2018,0.02,2.98,2.93,1.9,0.17,6.04,2.63,5.76,4.29,0.58,0.4,1.72,0.03,0.01,0.14,11.15,8.31,0.06860000000000001,KLBN11
27.82,2019,0.07,3.7,4.4,3.13,0.66,6.01,3.06,7.89,5.45,0.57,0.36,1.94,0.11,0.02,0.11,13.94,9.64,0.0359,KLBN11
-9.34,2020,-0.22,8.07,3.93,2.34,-2.06,3.16,6.09,7.93,5.52,0.62,0.36,2.01,-0.65,-0.07,0.1,15.71,10.94,0.034300000000000004,KLBN11
13.02,2010,0.11,0.4,2.03,0.74,1.56,8.85,2.29,7.6,6.19,1.29,0.22,1.38,0.18,0.1,0.22,6.16,5.02,0.0277,VLID3
10.68,2011,0.13,0.42,2.1,0.77,2.04,9.09,2.4,7.73,6.6,1.32,0.21,1.38,0.22,0.12,0.23,5.39,4.6,0.0381,VLID3
24.06,2012,0.11,0.79,1.56,0.41,1.89,9.22,4.93,15.13,12.67,2.28,0.21,2.7,0.21,0.09,0.18,6.49,5.44,0.0391,VLID3
19.25,2013,0.08,0.76,2.9,0.8,1.67,9.77,3.3,13.46,9.72,1.53,0.16,1.52,0.17,0.08,0.14,7.96,5.75,0.036000000000000004,VLID3
21.05,2014,0.09,0.81,2.05,0.61,2.01,10.61,4.0,13.55,9.95,1.82,0.18,1.82,0.19,0.09,0.17,6.31,4.63,0.0318,VLID3
20.51,2015,0.08,0.7,1.99,0.57,2.07,16.67,2.55,14.17,9.77,1.27,0.17,1.68,0.12,0.06,0.11,6.7,4.62,0.0242,VLID3
17.92,2016,0.05,0.81,1.66,0.74,1.37,15.32,1.61,14.11,37.32,0.77,0.02,0.93,0.09,0.04,0.07,10.62,28.09,0.0394,VLID3
44.02,2017,0.02,0.81,1.92,0.7,0.42,13.9,1.33,13.9,8.19,0.64,0.1,0.84,0.03,0.01,0.06,13.59,8.01,0.02,VLID3
12.69,2018,0.06,0.76,2.07,0.67,1.42,15.28,1.18,8.38,5.73,0.57,0.13,0.74,0.09,0.04,0.08,8.62,5.89,0.054400000000000004,VLID3
21.99,2019,0.03,0.85,1.71,0.5,0.77,15.68,1.08,9.23,5.57,0.48,0.11,0.6,0.05,0.02,0.06,10.89,6.56,0.0412,VLID3
18.74,2020,0.02,0.89,1.67,0.47,0.59,17.66,0.63,6.1,3.43,0.28,0.11,0.39,0.03,0.01,0.06,12.31,6.92,0.0633,VLID3
5.65,2008,0.15,0.14,1.7,0.25,0.91,2.96,1.73,3.94,3.43,1.05,0.25,0.84,0.31,0.19,0.3,0.93,0.81,0.1722,ETER3
10.31,2009,0.13,0.08,2.77,1.23,0.84,4.36,1.98,7.3,6.26,1.35,0.21,1.33,0.19,0.13,0.26,-0.12,-0.1,0.08800000000000001,ETER3
10.53,2010,0.13,0.06,1.99,0.47,1.14,4.6,2.61,8.66,7.57,1.62,0.19,1.42,0.25,0.15,0.23,0.36,0.31,0.0683,ETER3
8.13,2011,0.12,0.11,2.16,0.42,1.09,4.89,1.82,6.75,5.69,1.15,0.17,0.97,0.22,0.14,0.2,0.69,0.58,0.10220000000000001,ETER3
6.36,2012,0.13,0.16,2.05,0.46,1.27,5.35,1.51,4.65,3.93,0.9,0.2,0.8,0.24,0.14,0.23,0.55,0.46,0.09880000000000001,ETER3
7.52,2013,0.11,0.16,2.02,0.25,1.16,5.65,1.55,5.43,4.39,0.94,0.19,0.82,0.21,0.12,0.19,0.94,0.76,0.09269999999999999,ETER3
6.69,2014,0.09,0.25,1.79,0.22,0.49,2.87,1.13,4.51,3.52,0.65,0.17,0.59,0.17,0.1,0.16,1.4,1.09,0.20620000000000002,ETER3
12.47,2015,0.03,0.33,2.01,0.11,0.17,2.79,0.75,4.07,2.84,0.4,0.14,0.38,0.06,0.03,0.11,2.67,1.87,0.1435,ETER3
-6.56,2016,-0.04,0.27,2.12,0.04,-0.2,2.56,0.51,-33.75,7.54,0.28,0.04,0.29,-0.08,-0.04,-0.01,-31.15,6.96,0.0,ETER3
-0.6,2017,-0.41,0.57,2.01,0.19,-1.54,0.95,0.97,-0.72,-0.85,0.29,-0.29,0.25,-1.62,-0.49,-0.45,-0.75,-0.88,0.0,ETER3
-0.56,2018,-0.28,10.83,1.15,0.04,-4.99,0.4,6.96,-0.79,-0.91,0.15,-0.17,0.16,-0.01242,-0.26,-0.2,-2.09,-2.41,0.0,ETER3
-10.41,2019,-0.03,-56.5,1.02,0.04,-0.41,-0.06,-67.68,3.66,2.42,0.25,0.11,0.28,6.5,-0.02,0.08,5.54,3.67,0.0,ETER3
-50.68,2020,0.0,-7.24,0.97,0.04,-0.06,-0.54,-5.96,2.07,1.51,0.18,0.14,0.21,0.12,0.0,0.1,4.37,3.18,0.0,ETER3
6.05,1999,0.12,0.39,3.12,0.0,3.45,22.89,0.91,3.86,0.0,0.58,0.0,0.71,0.15,0.1,0.16,70.88,0.0,0.0,UGPA3
4.3,2000,0.12,0.32,3.71,0.0,4.3,24.68,0.75,3.74,0.0,0.49,0.0,0.52,0.17,0.11,0.14,77.48,0.0,0.0438,UGPA3
4.35,2001,0.1,0.33,3.24,0.0,4.3,23.38,0.8,3.17,0.0,0.51,0.0,0.43,0.18,0.12,0.17,64.82,0.0,0.1866,UGPA3
6.26,2002,0.09,0.48,2.53,0.0,3.98,17.54,1.42,4.78,0.0,0.82,0.0,0.58,0.23,0.13,0.18,56.36,0.0,0.030899999999999997,UGPA3
10.35,2003,0.06,0.46,2.02,0.0,3.6,19.92,1.87,6.42,0.0,1.1,0.0,0.65,0.18,0.11,0.18,50.63,0.0,0.0292,UGPA3
8.38,2004,0.09,0.34,2.11,0.0,6.09,23.42,2.18,5.51,0.0,1.37,0.0,0.74,0.26,0.16,0.26,31.77,0.0,0.0369,UGPA3
8.7,2005,0.06,0.79,4.29,0.0,3.73,22.42,1.45,7.37,4.83,0.73,0.12,0.56,0.17,0.08,0.1,59.52,39.04,0.0492,UGPA3
13.81,2006,0.06,0.76,4.19,0.0,3.55,24.22,2.02,12.66,7.97,1.03,0.1,0.83,0.15,0.07,0.08,68.06,42.86,0.0433,UGPA3
17.42,2007,0.01,0.69,1.89,0.0,3.62,57.41,1.1,10.26,6.39,0.55,0.04,0.26,0.06,0.03,0.06,46.48,28.95,0.0141,UGPA3
16.8,2008,0.01,0.78,1.87,0.0,3.02,35.01,1.45,9.4,6.19,0.7,0.04,0.24,0.09,0.04,0.08,32.52,21.4,0.0525,UGPA3
22.78,2009,0.01,0.89,2.16,0.0,3.52,36.31,2.21,11.46,7.8,0.97,0.04,0.3,0.1,0.04,0.09,25.87,17.61,0.0222,UGPA3
18.4,2010,0.02,1.04,2.57,1.27,5.71,38.63,2.72,11.3,7.93,1.08,0.04,0.33,0.15,0.06,0.14,17.71,12.42,0.0239,UGPA3
20.03,2011,0.02,1.0,1.6,0.66,1.6,10.4,3.08,11.81,8.45,1.25,0.04,0.35,0.15,0.06,0.15,15.64,11.18,0.0294,UGPA3
24.37,2012,0.02,1.04,1.91,0.8,1.9,11.21,4.13,14.53,10.32,1.62,0.04,0.46,0.17,0.07,0.16,13.52,9.6,0.022000000000000002,UGPA3
24.38,2013,0.02,1.06,2.1,0.91,2.29,12.2,4.58,14.02,10.29,1.83,0.05,0.49,0.19,0.08,0.18,10.94,8.03,0.0236,UGPA3
22.55,2014,0.02,1.08,1.67,0.75,2.28,14.07,3.66,12.44,8.95,1.45,0.05,0.42,0.16,0.06,0.16,10.56,7.59,0.0276,UGPA3
21.67,2015,0.02,1.12,2.59,0.91,2.79,14.68,4.12,11.12,8.3,1.57,0.05,0.43,0.19,0.07,0.18,8.56,6.39,0.025,UGPA3
24.23,2016,0.02,1.33,2.37,1.04,2.83,15.38,4.45,12.23,9.03,1.58,0.05,0.49,0.18,0.07,0.19,8.23,6.07,0.023399999999999997,UGPA3
